State,Money Transmitter Licensing,Electricity Prices,Financial Freedom,Proactive Positioning,Business Friendliness
Alabama,0,12.22666667,19,3,25
Alaska,0,20.76666667,34,0,12
Arizona,1,10.42,18,7,4
Arkansas,1,10.23666667,22,4,29
California,2,22.35666667,41,0,48
Colorado,0,12.05,16,2,16
Connecticut,1,19.12666667,17,-3,11
Delaware,1,12.31333333,44,-2,26
Florida,1,11.84333333,1,3,39
Georgia,0,11.63666667,6,-1,32
Hawaii,1,42.36666667,50,-2,35
Idaho,1,8.696666667,11,1,3
Illinois,1,12.63,25,1,40
Indiana,1,13.97666667,9,1,18
Iowa,1,9.843333333,43,1,28
Kansas,1,12.17666667,38,0,17
Kentucky,1,11.31333333,23,4,42
Louisiana,1,11.77,26,1,41
Maine,1,15.87666667,37,0,19
Maryland,1,13.17333333,24,-2,29
Massachusetts,1,21.03,8,-4,21
Michigan,1,13.02,13,-2,20
Minnesota,1,12.15,39,0,32
Mississippi,1,11.06333333,45,4,50
Missouri,1,9.67,7,4,36
Montana,2,10.25666667,14,1,5
Nebraska,1,9.34,47,2,12
Nevada,1,11.21,10,3,7
New Hampshire,2,21.54,3,-2,8
New Jersey,1,13.49666667,28,0,47
New Mexico,1,11.14666667,48,0,44
New York,0,16.63,49,-3,45
North Carolina,1,10.07333333,21,2,22
North Dakota,1,9.2,31,1,1
Ohio,0,11.34333333,20,0,43
Oklahoma,0,10.77333333,29,2,14
Oregon,1,9.323333333,42,0,46
Pennsylvania,2,12.35333333,5,1,26
Rhode Island,0,19.43666667,27,-1,36
South Carolina,2,11.19333333,33,4,23
South Dakota,1,10.63666667,4,1,8
Tennessee,1,10.77333333,2,3,23
Texas,2,10.49333333,12,5,34
Utah,2,8.906666667,35,0,10
Vermont,1,16.99666667,46,0,14
Virginia,1,11.23666667,15,1,6
Washington,1,8.873333333,32,1,31
West Virginia,1,10.77333333,40,2,49
Wisconsin,1,12.03666667,30,1,2
Wyoming,2,9.5,36,8,38
